Wavelength,,,,,
nm,,,,,
Type,CA-FA-alc,CA-FA-alc,CA-FA-alc,CA-FA-alc,CA-FA-alc
AA,Ser,Ser,Ser,Ser,Ser
experim,no4_0.1,no3_0.5,no1_0.1,no2_0.1,no1_0.1a
489,0.115122,-0.0583719,-0.0430413,-0.0641193,0.0761305
490,0.0787119,8.38906E-4,0.0421304,-0.111823,0.105033
491,0.0316055,0.0267849,-0.00720871,-0.0231727,0.163177
492,0.00865472,-0.00459468,-0.0856247,-0.0447456,0.0876937
493,0.0410019,-0.0789387,-0.0684825,-0.082215,0.0251321
494,0.00562999,-0.0868271,-0.141354,-0.0539749,-0.00877904
495,-0.0363433,-0.057672,-0.210461,-0.0334347,-0.133188
496,-0.0990067,-0.0507173,-0.206957,-0.0249945,-0.260703
497,-0.132519,-0.076638,-0.19239,-0.017815,-0.270228
498,-0.129235,-0.0864725,-0.18644,-0.0436981,-0.347736
499,-0.207178,-0.178238,-0.141798,-0.0526281,-0.379102
500,-0.214286,-0.224329,-0.190249,-0.0596045,-0.476182
501,-0.209452,-0.22681,-0.223306,-0.03766,-0.561964
502,-0.218662,-0.111175,-0.337872,-0.107396,-0.632592
503,-0.220373,-0.1275,-0.438808,-0.149207,-0.665858
504,-0.230921,-0.144251,-0.45091,-0.164902,-0.659027
505,-0.209395,-0.1352,-0.443409,-0.220746,-0.643555
506,-0.157297,-0.171229,-0.490314,-0.245675,-0.66472
507,-0.227856,-0.145755,-0.507467,-0.263668,-0.672949
508,-0.249919,-0.176309,-0.552904,-0.317965,-0.609688
509,-0.196405,-0.195449,-0.610159,-0.326796,-0.505606
510,-0.196736,-0.198014,-0.580863,-0.335061,-0.537145
511,-0.207409,-0.25423,-0.528164,-0.243494,-0.522114
512,-0.226848,-0.244294,-0.537709,-0.193512,-0.474872
513,-0.167058,-0.276246,-0.432462,-0.182793,-0.514124
514,-0.209174,-0.281955,-0.403657,-0.19371,-0.439629
515,-0.168458,-0.335224,-0.421638,-0.148379,-0.413524
516,-0.166783,-0.35204,-0.462588,-0.0925309,-0.343471
517,-0.153958,-0.355955,-0.419656,-0.103936,-0.333423
518,-0.125671,-0.301436,-0.431865,-0.109693,-0.407135
519,-0.0504034,-0.276251,-0.35014,-0.0928351,-0.311158
520,-0.0340944,-0.172668,-0.252454,-0.0169001,-0.230252
521,-0.0695026,-0.185872,-0.270406,0.0588312,-0.0553612
522,-0.0385796,-0.195457,-0.0954242,0.135697,0.00808446
523,0.00409292,-0.146307,-0.0462779,0.153709,0.146252
524,0.048103,-0.103962,0.0287853,0.185015,0.129104
525,0.0853005,-0.027734,0.223607,0.218438,0.326301
526,0.187371,0.0143622,0.386078,0.228468,0.451358
527,0.295659,0.110592,0.339091,0.235468,0.553145
528,0.253984,0.169001,0.442481,0.219834,0.497096
529,0.26918,0.116528,0.478419,0.278017,0.668205
530,0.277576,0.0571312,0.490811,0.296908,0.596776
531,0.236518,0.069801,0.446652,0.403351,0.612333
532,0.238574,0.109477,0.317619,0.443952,0.569808
533,0.158139,0.0761199,0.227409,0.463917,0.487951
534,0.054864,0.0794616,0.136254,0.296735,0.379368
535,0.0401596,0.123692,0.13193,0.236934,0.188155
536,-0.118988,0.0796783,-0.00207595,0.157125,-0.0605497
537,-0.203811,-0.0914414,-0.0734215,-0.0289133,0.0474353
538,-0.248251,-0.1325,-0.155912,-0.200469,-0.3205
539,-0.313967,-0.153005,-0.1662,-0.338321,-0.402626
540,-0.258326,-0.174983,-0.331016,-0.392533,-0.386189
541,-0.252359,-0.25202,-0.346944,-0.368668,-0.545332
542,-0.248869,-0.157778,-0.376284,-0.404489,-0.701533
543,-0.12995,-0.231199,-0.512956,-0.457246,-0.673485
544,-0.177557,-0.310666,-0.725684,-0.485844,-0.649047
545,-0.125874,-0.282491,-0.686847,-0.433984,-0.5716
546,-0.073053,-0.222646,-0.561662,-0.316802,-0.649106
547,0.0164189,-0.077,-0.647455,-0.321827,-0.462179
548,0.015872,0.0212289,-0.664714,-0.317993,-0.34419
549,0.0194701,-0.011698,-0.659103,-0.28391,-0.416055
550,-0.0440813,0.135014,-0.551807,-0.274517,-0.312598
551,0.0278555,0.158552,-0.490603,-0.20101,-0.156609
552,0.0682762,0.230865,-0.430284,-0.151773,0.0730191
553,0.00827741,0.288082,-0.193116,-0.115945,0.0738735
554,-0.00724379,0.326534,-0.125233,-0.114064,0.152316
555,0.00969182,0.219897,-0.168153,-0.0789125,0.22351
556,-0.0244732,0.162519,-0.20474,-0.109995,0.266776
557,0.0470725,0.185187,-0.337294,-0.0723701,0.285116
558,0.0615309,0.280673,-0.344712,0.0103077,0.325795
559,0.0870451,0.206505,-0.280307,-0.0384848,0.264144
560,0.114084,0.25674,-0.357829,-0.0522297,0.179935
561,0.134859,0.28832,-0.340799,-0.0150375,0.164057
562,0.154461,0.341789,-0.532816,0.0089131,0.0896638
563,0.11123,0.380161,-0.480559,-0.0050574,0.039701
564,0.176803,0.494639,-0.416392,0.0211208,-0.00665565
565,0.248885,0.492689,-0.382015,-0.111059,-0.120183
566,0.226363,0.475759,-0.33542,-0.0566406,-0.255348
567,0.231092,0.434131,-0.241876,-0.0837412,-0.29626
568,0.24669,0.443772,-0.189921,-0.156565,-0.261651
569,0.328156,0.416202,-0.155329,-0.104223,-0.358793
570,0.268749,0.336066,-0.0643104,-0.111033,-0.368021
571,0.230769,0.247613,-0.0791497,-0.121071,-0.287117
572,0.254733,0.210411,-0.0267131,-0.124397,-0.164415
573,0.26518,0.102294,-0.0602891,-0.20047,-0.218079
574,0.189573,0.135205,-0.0521483,-0.139727,-0.134434
575,0.198968,0.168067,-0.0783504,-0.074611,-0.0962853
576,0.13238,0.135569,-0.142563,-0.154524,-0.159007
577,0.128804,0.148724,-0.170688,-0.16609,-0.232905
578,0.110135,0.103325,-0.200718,-0.160778,-0.173223
579,0.0638605,0.0629627,-0.297697,-0.256672,-0.251013
580,0.114907,0.126232,-0.18711,-0.204946,-0.260156
581,0.12355,0.161951,-0.187749,-0.157632,-0.292137
582,0.132762,0.141143,-0.0243417,-0.246134,-0.358027
583,0.131528,0.185346,-0.101209,-0.16185,-0.366848
584,0.162537,0.1869,-0.123357,-0.126885,-0.331802
585,0.221612,0.166518,-0.0530904,-0.0745686,-0.257482
586,0.199066,0.204002,-0.0777703,0.0259256,-0.207743
587,0.176787,0.146357,-0.0860265,-0.0737414,-0.235569
588,0.246552,0.129322,-0.0201238,-0.0301443,-0.258847
589,0.20612,0.120011,-0.0668176,-0.0562423,-0.281216
590,0.191412,0.106906,0.079985,-0.0925638,-0.266427
591,0.244606,0.0889775,-0.0211304,-0.0853286,-0.222591
592,0.248306,0.0110053,0.0653039,-0.0407762,-0.212516
593,0.21023,0.0393498,0.12288,-0.0661994,-0.332739
594,0.142731,0.0151653,0.0708825,-0.0360461,-0.244406
595,0.136911,-6.26786E-5,0.140255,-0.0599719,-0.295908
596,0.161754,0.0735855,0.266066,-0.0950853,-0.264821
597,0.0993305,0.0185561,0.264515,-0.158559,-0.177457
598,0.00665452,0.0446904,0.257019,-0.207583,-0.202285
599,-0.0165046,0.0734196,0.184357,-0.244072,-0.179931
600,-0.0113532,0.153965,0.120964,-0.327569,-0.3137
601,-0.036291,0.152457,0.0335575,-0.451942,-0.235868
602,0.0357523,0.104634,0.146717,-0.462845,-0.223186
603,0.109317,0.143268,0.295074,-0.398623,-0.291093
604,0.0846985,0.139436,0.174081,-0.285767,-0.267287
605,0.0301189,0.170478,0.306126,-0.272326,-0.274068
606,0.0293763,0.263619,0.353903,-0.198527,-0.341523
607,0.0820538,0.269044,0.501183,-0.275575,-0.367852
608,0.129655,0.295494,0.442973,-0.297421,-0.510696
609,0.0719694,0.258427,0.523538,-0.245138,-0.463994
610,0.0504486,0.269385,0.482737,-0.257007,-0.477804
611,-0.0258317,0.249566,0.475267,-0.300866,-0.476645
612,0.0121123,0.240455,0.268547,-0.308311,-0.523165
613,-0.0139113,0.212963,0.22931,-0.329193,-0.568871
