Wavelength,,,,
nm,,,,
Type,ref,ref,ref,ref
AA,α-M,α-M,α-M,α-M
experim,BL1,BL2,BL3,BL4
491,0.119633,0.175033,0.445298,0.529692
492,0.130032,0.170678,0.428542,0.499169
493,0.107859,0.197856,0.466638,0.548053
494,0.139999,0.186577,0.42216,0.573275
495,0.103743,0.164408,0.454697,0.588566
496,0.066589,0.144544,0.402158,0.582953
497,0.0742574,0.153172,0.348643,0.593668
498,0.0704868,0.138961,0.349564,0.570738
499,0.126436,0.149795,0.345603,0.571713
500,0.0818081,0.162336,0.354506,0.575159
501,0.092083,0.104054,0.300333,0.579127
502,0.0438437,0.0344313,0.238427,0.570441
503,0.0167799,0.00424354,0.347599,0.545512
504,-0.0231714,-0.0035748,0.35424,0.520281
505,-0.0570964,-0.0230273,0.324426,0.520206
506,-0.100936,-0.0677885,0.31759,0.541272
507,-0.143044,-0.121976,0.374831,0.488356
508,-0.125442,-0.144812,0.390896,0.496678
509,-0.131214,-0.191794,0.398389,0.454039
510,-0.110328,-0.123814,0.449847,0.495834
511,-0.107501,-0.133311,0.429152,0.477593
512,-0.0873982,-0.138271,0.410072,0.49108
513,-0.0703878,-0.157136,0.330372,0.48598
514,-0.072885,-0.193895,0.339304,0.465142
515,0.0290962,-0.223163,0.331867,0.499357
516,0.062293,-0.104952,0.328935,0.545386
517,0.0664305,-0.136881,0.292369,0.532051
518,0.0269292,-0.170781,0.297372,0.548029
519,0.095887,-0.193716,0.320134,0.591373
520,0.0731059,-0.0903632,0.314544,0.606746
521,0.0742361,-0.0461463,0.281855,0.630332
522,0.0528034,-0.0645247,0.30472,0.67805
523,0.112851,-0.0497723,0.329637,0.73168
524,0.117167,0.104353,0.333892,0.748943
525,0.0700873,0.0916944,0.332069,0.719518
526,0.12551,0.22113,0.336994,0.751175
527,0.166373,0.194408,0.317389,0.808117
528,0.166515,0.262833,0.292855,0.743125
529,0.206922,0.259301,0.276556,0.725033
530,0.221906,0.231508,0.246112,0.661448
531,0.258632,0.261767,0.298133,0.644783
532,0.221815,0.141681,0.250947,0.649734
533,0.116291,0.0186857,0.315031,0.6024
534,0.0549611,0.0261859,0.428682,0.610069
535,0.0526529,-0.0530769,0.424768,0.616472
536,0.0831065,0.0370706,0.498296,0.5252
537,0.0475329,0.0452482,0.520057,0.592501
538,-0.00819829,-0.0374928,0.480201,0.638932
539,-0.0338757,-0.0488004,0.514137,0.616745
540,0.0579095,-0.143188,0.532057,0.617942
541,0.0753605,-0.0905208,0.506304,0.565804
542,0.112006,-0.0733432,0.494878,0.559987
543,0.152224,0.103124,0.375925,0.560838
544,0.162631,0.130088,0.305119,0.512008
545,0.116001,0.108853,0.251523,0.583249
546,0.111112,0.107801,0.226209,0.502739
547,0.139022,0.0845358,0.348064,0.50852
548,0.0830386,0.189261,0.421126,0.479857
549,0.0489944,0.246584,0.430582,0.455218
550,0.0425868,0.293796,0.52414,0.456474
551,0.0838987,0.259992,0.599798,0.487675
552,0.0555542,0.151348,0.654106,0.435028
553,0.0879235,0.176302,0.617076,0.49788
554,0.0718489,0.211422,0.651577,0.447459
555,0.0866232,0.379961,0.591823,0.461737
556,0.0680835,0.496052,0.56738,0.40331
557,0.229802,0.420425,0.522584,0.437415
558,0.193506,0.56775,0.554636,0.527065
559,0.153504,0.640066,0.508924,0.62849
560,0.12711,0.764077,0.498995,0.689604
561,0.140191,0.861796,0.503478,0.73096
562,0.297767,0.810228,0.485603,0.690292
563,0.375383,0.717755,0.5018,0.708577
564,0.367203,0.645584,0.582825,0.749384
565,0.466742,0.606504,0.606239,0.717001
566,0.445045,0.64625,0.612673,0.702367
567,0.353164,0.421508,0.593006,0.686251
568,0.355259,0.345023,0.484,0.594837
