Wavelength,,,,
nm,,,,
Type,CA-FA-!alc,CA-FA-!alc,CA-FA-!alc,CA-FA-!alc
AA,Ser,Ser,Ser,Ser
experim,no4_0.1,no3_0.5,no1_0.1,no2_0.1
506,-0.0869849,-0.0509431,-0.304186,-0.0677441
507,-0.087023,-0.0351414,-0.360372,-0.140855
508,-0.0982765,-0.0910388,-0.313025,-0.122568
509,-0.0842282,-0.0869103,-0.350093,-0.0913586
510,-0.0934121,-0.0698672,-0.39087,-0.0653379
511,-0.0493479,-0.153037,-0.425871,-0.0715683
512,-0.11726,-0.0607066,-0.349854,-0.0713588
513,-0.145282,-0.125145,-0.275892,-0.0381833
514,-0.229837,-0.151057,-0.231429,-0.0197205
515,-0.218796,-0.13612,-0.240942,-0.0160065
516,-0.260016,-0.106146,-0.124448,-0.0352605
517,-0.22427,-0.0765341,6.80065E-4,0.0261544
518,-0.242763,-0.080679,-0.0376188,0.0502261
519,-0.20401,-0.0573775,0.0125584,0.0630419
520,-0.185703,-0.0474942,0.073734,0.0966985
521,-0.123111,-0.040881,0.230369,0.144277
522,-0.0349843,-0.0270962,0.202928,0.187963
523,0.0439413,0.179187,0.237829,0.251947
524,0.0968718,0.214192,0.287724,0.323413
525,0.170265,0.221748,0.272693,0.343331
526,0.192382,0.203389,0.207301,0.493986
527,0.233031,0.27791,0.226015,0.533092
528,0.213205,0.239642,0.177415,0.44449
529,0.159198,0.243743,0.257066,0.43774
530,0.126341,0.204956,0.276544,0.511014
531,0.160689,0.129712,0.28434,0.434457
532,0.0513132,-0.0358458,0.297636,0.443367
533,-0.0743056,-0.013878,0.277871,0.268276
534,-0.140515,-0.0578779,0.373408,0.188788
535,-0.149975,-0.210385,0.420132,0.246658
536,-0.177178,-0.217206,0.415792,0.135391
537,-0.183388,-0.276601,0.442466,0.0511469
538,-0.16837,-0.311038,0.287472,0.0741407
539,-0.228292,-0.304367,0.18975,-0.0612105
540,-0.233009,-0.274962,0.20889,-0.0473289
541,-0.279228,-0.250987,0.140684,-0.117435
542,-0.227816,-0.202548,0.0945046,-0.198529
543,-0.209723,-0.184532,-0.108473,-0.128636
544,-0.234647,-0.0580668,-0.23469,-0.114211
545,-0.229068,-0.0649477,-0.325882,-0.150799
546,-0.235597,-0.0448619,-0.307511,-0.250412
547,-0.157032,0.0151197,-0.309661,-0.189673
548,-0.254852,0.140525,-0.209375,-0.0857516
549,-0.215604,0.0695848,-0.253049,-0.0665605
550,-0.28184,-0.0163331,-0.214991,-0.0226161
551,-0.239068,0.0564579,-0.00930495,0.00238408
552,-0.157196,0.0738593,-8.54137E-5,0.0194079
553,-0.141861,0.171063,0.116356,0.0609141
554,-0.211942,0.138735,0.154393,0.0858416
555,-0.237803,0.0242077,0.180586,0.0971728
556,-0.303939,0.0578708,0.129143,0.128859
557,-0.221169,0.101921,0.17768,0.149139
558,-0.251037,0.142321,0.117784,0.0919645
559,-0.260833,0.138976,0.108688,0.0923862
560,-0.258242,0.0556347,-0.00232208,0.0481577
561,-0.272464,0.0863337,-0.0814517,0.119942
562,-0.319101,0.0242061,-0.186203,0.0583467
563,-0.3314,0.122207,-0.17034,-0.0331294
564,-0.257992,0.151108,-0.191416,-0.0764187
565,-0.246305,0.161584,-0.14077,-0.124107
566,-0.28897,0.169317,-0.108325,-0.0774697
567,-0.216895,0.23305,-0.223597,-0.0905124
568,-0.160923,0.211171,-0.146787,-0.137028
569,-0.11882,0.383008,-0.202407,-0.112829
570,-0.1225,0.314382,-0.198123,-0.0645659
571,-0.117768,0.344536,-0.0706776,0.00290357
572,-0.0564613,0.309987,0.00582045,-0.034296
573,-0.0395932,0.282115,-0.0488009,-0.0152129
574,-0.062985,0.30725,-0.0784022,-0.10157
575,-0.0301526,0.335238,0.0343791,-0.0767321
576,-0.0712715,0.326391,0.0357037,-0.190855
577,-0.046308,0.344206,0.0169861,-0.237635
578,-0.114279,0.290262,-0.0222078,-0.18352
579,-0.0524354,0.286995,0.0835859,-0.0569856
580,-0.0570207,0.293338,0.124258,-0.0187879
581,-0.0651323,0.306344,0.0912137,0.0980756
582,-0.102456,0.274541,0.17569,0.161258
583,-0.106496,0.317443,0.143348,0.298661
584,-0.0922695,0.262,0.0490658,0.373936
585,-0.0680415,0.175713,0.0429239,0.360247
586,-0.0739395,0.166251,0.00703233,0.328217
587,-0.0468796,0.243326,-0.039483,0.315865
588,-0.0562589,0.226598,-0.0542507,0.286556
589,-0.0837452,0.257047,-0.161253,0.226317
590,-0.0866188,0.268301,-0.0837474,0.199118
591,-0.0992467,0.203936,-0.0586613,0.122754
592,-0.149248,0.073103,-0.150388,0.0968702
593,-0.123228,0.132881,-0.144682,0.148093
594,-0.15359,0.0985699,-0.0449834,0.0299898
595,-0.151293,0.170478,-0.0522954,-0.0144213
596,-0.119635,0.185645,0.0896027,-0.0455643
597,-0.175642,0.173625,0.126206,-0.107666
598,-0.220759,0.152912,0.184126,-7.17413E-4
599,-0.205966,0.0430898,0.224164,0.0714505
600,-0.156666,0.0509172,0.165761,0.0538352
601,-0.126995,0.0769942,0.217501,0.0453814
602,-0.154593,-0.0116065,0.221208,0.0376153
603,-0.190251,0.0146629,0.301641,0.0822824
604,-0.127043,0.00116791,0.232483,0.161525
605,-0.13812,0.041892,0.219659,0.0707812
606,-0.121734,0.0698656,0.0904146,0.151831
607,-0.0853479,0.0572857,0.0569733,0.153139
608,-0.0571007,0.0841089,0.016869,0.16084
609,-0.0789663,0.043559,0.108322,0.175275
610,-0.00718168,0.0866977,0.0577672,0.192961
611,-0.0329311,0.2101,-0.00289616,0.185324
612,0.079832,0.24706,-0.0990457,0.0937194
613,0.00799993,0.224711,-0.0367433,0.115119
614,0.0181341,0.242317,0.0102355,0.145655
615,-0.0446865,0.206784,0.00922301,0.106778
616,-0.0129128,0.28016,0.0649861,0.211757
617,-0.00388277,0.268415,0.153026,0.185067
618,-0.00318805,0.264554,0.0991658,0.230027
619,-0.010657,0.318465,0.145083,0.28212
620,0.0777511,0.316586,0.19285,0.342068
621,0.0237483,0.286397,0.128211,0.211261
622,0.0265992,0.27288,0.0799498,0.166526
623,-0.00409467,0.321978,0.0279259,0.210903
624,0.0784579,0.337119,0.0104261,0.216444
625,0.00942816,0.264947,0.136311,0.216784
626,0.0181722,0.234897,0.0538942,0.219797
627,-0.0034597,0.169197,0.0696374,0.224391
628,-0.0321553,0.22968,-0.00883116,0.243413
629,-0.067737,0.235484,0.020097,0.262568
630,-0.132201,0.235195,0.00502468,0.234462
631,-0.154441,0.22736,0.0678354,0.221507
632,-0.178513,0.241111,0.0796774,0.284245
633,-0.229499,0.238296,0.1248,0.244556
634,-0.198093,0.180932,0.0653068,0.268867
635,-0.192505,0.251422,0.0293496,0.289186
636,-0.195833,0.340532,0.0157374,0.140477
637,-0.149183,0.394861,0.0193029,0.195049
638,-0.178425,0.334303,-0.0623661,0.172888
639,-0.150574,0.318876,0.0241786,0.0744322
640,-0.122409,0.323607,-0.0370212,0.122697
641,-0.0466399,0.402132,6.72627E-4,0.156919
642,-0.0347682,0.427018,-0.0647316,0.191486
643,0.00583232,0.468077,-0.0770011,0.237435
644,0.0251121,0.507658,-0.12313,0.246596
645,-0.0178489,0.500657,-0.203639,0.257456
646,-0.128068,0.383537,-0.194799,0.344798
647,-0.135165,0.362552,-0.186738,0.323526
648,-0.0958871,0.30041,-0.189316,0.299003
