N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
DP,0.1,1.0,1.0,0.5,0.1,1.0,0.5,0.5,0.5,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0,0.5,1.0,0.1,0.1,0.5
Speed,50,50,50,50,50,20,20,100,50,50,50,50,50,100,50,50,20,100,20,50,20,100
BW,8,8,5,5,5,5,5,8,5,8,8,8,8,8,8,8,8,8,8,8,5,8
DIT,8,8,8,8,8,16,16,4,4,8,8,8,8,2,8,8,16,4,16,8,16,4
Acc,1,1,1,1,1,1,1,3,1,1,1,3,1,3,3,1,1,3,1,1,1,4
346,-0.197522,-0.124438,-0.57843,-0.531872,0.13397,0.108467,-0.139076,0.0866174,0.495553,-0.197522,0.093738,0.0614989,0.18852,0.139069,-0.0398356,0.0260854,0.758218,0.532708,0.779526,0.00307189,0.373428,0.393687
347,-0.236084,-0.140335,-0.592388,-0.527273,0.0636103,0.137731,-0.146542,0.0498273,0.584382,-0.236084,0.174402,0.158607,0.208606,-0.00763426,-0.0368721,0.0318307,0.890599,0.531177,0.691051,-0.0654442,0.462194,0.371854
348,-0.274502,-0.112166,-0.640079,-0.361821,0.00575149,0.105786,-0.129162,0.088702,0.613648,-0.274502,0.224558,0.220348,0.0734523,0.0541056,-0.0204049,0.0768781,0.951984,0.60326,0.624564,-0.131608,0.464802,0.327588
349,-0.13977,-0.0765481,-0.596214,-0.402543,-0.0202112,0.0814766,-0.140716,0.10556,0.522452,-0.13977,0.211416,0.224135,0.0312258,0.264391,-0.00505238,0.139931,1.06185,0.633115,0.557048,-0.144537,0.524348,0.331195
350,-0.135645,-0.113677,-0.641858,-0.351169,0.172414,0.0903502,-0.147341,0.0716574,0.523286,-0.135645,0.193878,0.20159,0.0276217,0.369955,-0.029279,0.194337,0.975109,0.629683,0.468035,-0.0903041,0.472801,0.284509
351,-0.0365459,-0.0721338,-0.703142,-0.325442,0.18529,0.180072,-0.19036,0.00879097,0.390245,-0.0365459,0.172729,0.21227,-0.0470965,0.495931,0.0153458,0.0735546,1.1096,0.6298,0.434247,-0.14332,0.496594,0.221954
352,-0.00986298,-0.0409209,-0.653341,-0.113672,0.159273,0.15428,-0.165682,0.0654741,0.371235,-0.00986298,0.110969,0.217886,-0.0984695,0.34006,0.00201573,0.0868073,1.11702,0.642692,0.33172,-0.156639,0.433425,0.257546
353,0.0606223,-0.0840661,-0.543042,-0.161213,0.0260118,0.144631,-0.177075,0.056949,0.374997,0.0606223,0.17616,0.174808,0.0030908,0.382058,-0.0759134,0.199686,1.26499,0.655259,0.273976,-0.0768306,0.387143,0.228582
354,-0.00546713,-0.0897392,-0.667093,-0.0317554,0.0836198,0.00940252,-0.178912,0.0963359,0.414335,-0.00546713,0.124858,0.189703,0.0121306,0.126012,0.00784735,0.074619,1.22435,0.643097,0.243645,-0.123318,0.240829,0.243304
355,0.1273,-0.182927,-0.737867,0.0266877,0.101575,0.107453,-0.305776,0.108897,0.302197,0.1273,0.114164,0.156897,0.0204226,-0.0613556,0.027069,0.0662953,1.21762,0.57126,0.334325,-0.123085,0.259138,0.138868
356,0.0715345,-0.184565,-0.797932,0.0447744,-0.0030856,0.119702,-0.291684,0.21151,0.547012,0.0715345,0.101978,0.0847247,-0.0193433,0.162705,0.0234886,0.141522,1.27042,0.525061,0.509996,-0.0893294,0.234542,0.222908
