Wavelength,,,,,
nm,,,,,
Type,DurSynth_av,DurSynth_av,DurSynth_av,DurSynth_av,DurSynth_av
AA,Phe,Cys,Try,Non,Glu
experim,1,2,3,4,5
451,-0.144198,0.549361,-0.436034,0.91041,-0.484694
452,-0.173838,0.52923,-0.413184,0.929268,-0.479281
453,-0.143715,0.547168,-0.407595,0.940951,-0.454437
454,-0.190647,0.502287,-0.44877,0.930041,-0.482679
455,-0.210169,0.585481,-0.47207,0.903215,-0.455494
456,-0.146488,0.579839,-0.461376,0.90026,-0.51706
457,-0.137346,0.636558,-0.368804,0.864017,-0.543309
458,-0.0895081,0.636987,-0.397728,0.893585,-0.566372
459,-0.112499,0.572246,-0.498874,0.854504,-0.622384
460,-0.158336,0.556309,-0.492262,0.90681,-0.572991
461,-0.122418,0.571001,-0.503789,0.933006,-0.599454
462,-0.105613,0.611571,-0.51348,0.925075,-0.564855
463,-0.0841985,0.65899,-0.475749,0.965085,-0.557953
464,-0.105279,0.664127,-0.479325,0.985784,-0.591544
465,-0.151958,0.65722,-0.528211,0.978056,-0.600728
466,-0.0667686,0.679792,-0.560822,1.01967,-0.590236
467,-0.0821171,0.64333,-0.651032,0.996011,-0.565996
468,-0.0993146,0.725431,-0.648298,1.04596,-0.48492
469,-0.0412034,0.740471,-0.625425,1.06794,-0.408108
470,-0.00657224,0.749458,-0.62472,1.04008,-0.404972
471,0.0170979,0.700271,-0.651821,1.07577,-0.427192
472,0.00405494,0.618679,-0.670713,1.04093,-0.456793
473,-0.00273139,0.622849,-0.717502,1.07029,-0.467069
474,0.031233,0.535912,-0.741021,1.02641,-0.515002
475,0.0556116,0.55407,-0.666597,1.00052,-0.450396
476,-0.00322168,0.464592,-0.644792,0.968311,-0.418917
477,0.0737062,0.462739,-0.539316,0.96187,-0.469085
478,0.0668262,0.413006,-0.572096,0.902952,-0.521799
479,0.00808884,0.433653,-0.540065,0.907144,-0.577391
480,-0.00851005,0.415763,-0.47731,0.912024,-0.64451
481,-0.0881009,0.49923,-0.420302,0.966993,-0.643053
482,-0.00239848,0.532738,-0.340478,0.983194,-0.566638
483,0.0168307,0.631486,-0.342373,0.93468,-0.555663
484,-0.0190802,0.559649,-0.340599,0.934549,-0.603172
485,-0.118204,0.615682,-0.367948,1.00292,-0.69684
486,-0.136249,0.59216,-0.438355,1.00163,-0.705969
487,-0.0721038,0.617329,-0.290015,1.06999,-0.609804
488,-0.0884799,0.581151,-0.429801,1.07631,-0.63593
489,-0.0706517,0.609077,-0.480262,1.06994,-0.527712
490,-0.022962,0.623906,-0.521761,1.06587,-0.431807
491,0.00884781,0.59631,-0.519323,1.09781,-0.44508
492,-0.055608,0.587645,-0.607521,1.12683,-0.397149
493,-0.0562695,0.601998,-0.66152,1.12945,-0.392291
494,-0.0192911,0.614905,-0.658512,1.13725,-0.332558
495,-0.0328309,0.622614,-0.571359,1.14298,-0.272419
496,-0.127055,0.587546,-0.595372,1.05267,-0.288439
497,-0.0873059,0.623582,-0.59617,1.07768,-0.306847
498,-0.0357149,0.655962,-0.494839,1.13764,-0.237039
499,-0.0426152,0.704955,-0.365513,1.22535,-0.226464
500,-0.0193287,0.722698,-0.323641,1.23351,-0.239681
501,-0.0219375,0.688691,-0.327373,1.14956,-0.284375
502,-0.00566799,0.653586,-0.229711,1.13543,-0.225858
503,0.0166028,0.598956,-0.237634,1.20292,-0.199088
504,0.00671455,0.597363,-0.313158,1.16263,-0.22509
505,0.0550673,0.666864,-0.270246,1.14962,-0.218132
506,0.0337242,0.570872,-0.403373,0.999507,-0.299118
507,0.0607675,0.54494,-0.367466,1.03174,-0.201189
508,0.0554237,0.524932,-0.334857,1.04402,-0.205459
509,0.00898184,0.501614,-0.357447,0.972272,-0.196596
510,-0.0288544,0.465086,-0.265998,0.949568,-0.206972
511,-0.00905704,0.428816,-0.155041,0.991383,-0.154416
512,-0.0124426,0.412517,-0.0402429,1.05343,-0.122784
513,-0.0421733,0.418763,-0.0834742,1.01203,-0.153893
514,-0.0251663,0.390122,-0.153596,1.00797,-0.273965
515,-0.157858,0.332724,-0.156819,1.01368,-0.272935
516,-0.170244,0.269427,-0.20872,0.957563,-0.394901
517,-0.18162,0.252736,-0.271689,0.969295,-0.439379
518,-0.074532,0.262233,-0.316161,0.964549,-0.469925
519,-0.0576154,0.342534,-0.43557,1.00218,-0.463924
520,-0.00826733,0.318323,-0.444124,0.968995,-0.427676
521,-0.0920698,0.250483,-0.602098,0.874048,-0.544037
522,-0.0154689,0.264371,-0.557152,0.888071,-0.488037
523,-0.068028,0.137717,-0.632655,0.810131,-0.540314
524,-0.0709942,0.225948,-0.6391,0.82482,-0.42749
525,-0.00241506,0.224207,-0.581099,0.845458,-0.381983
526,-0.0291106,0.202088,-0.570412,0.816464,-0.392841
527,-0.0276699,0.14197,-0.608535,0.701494,-0.490319
528,-0.038276,0.113033,-0.586586,0.616671,-0.426699
529,-0.0402713,0.108454,-0.575251,0.617562,-0.473371
530,-0.039232,0.0667788,-0.475526,0.582202,-0.46815
531,-0.00942904,0.0950364,-0.534931,0.629463,-0.489609
532,-0.0305174,0.0663468,-0.580634,0.601506,-0.461457
533,-0.0600995,0.109975,-0.486092,0.718495,-0.512349
534,-0.013051,0.0843935,-0.478876,0.739071,-0.537877
535,0.0167881,0.166933,-0.395217,0.68876,-0.44728
536,0.0338622,0.184067,-0.437618,0.640553,-0.410518
537,0.0671207,0.183302,-0.363614,0.715298,-0.448408
538,0.00325998,0.057839,-0.391779,0.733219,-0.423466
539,-0.00312065,-0.00235543,-0.397847,0.692688,-0.491716
540,0.0330717,-8.71505E-4,-0.287242,0.640109,-0.472967
541,0.111303,0.0618704,-0.230473,0.639728,-0.389631
542,0.179622,0.118528,-0.234622,0.605777,-0.297439
543,0.238845,0.133051,-0.178261,0.618403,-0.289049
544,0.272731,0.216429,-0.0779012,0.700912,-0.146305
545,0.219399,0.208733,-0.140994,0.663847,-0.11187
546,0.35751,0.388356,0.0244536,0.729037,-0.0430656
547,0.359361,0.3402,-0.0144905,0.618368,-0.0733377
548,0.415731,0.422649,-0.0879804,0.628952,-0.0247566
549,0.417387,0.314769,-0.120067,0.58969,-0.00749603
550,0.406166,0.303634,-0.165543,0.578552,-0.0305293
551,0.392814,0.181472,-0.193666,0.514524,-0.0771596
552,0.309052,0.156148,-0.188052,0.358808,-0.104398
553,0.299467,0.0817243,-0.192563,0.334148,-0.1067
554,0.245934,0.0270755,-0.268623,0.253577,-0.230983
555,0.200276,-0.0549709,-0.372123,0.210708,-0.27654
556,0.173364,-0.0806612,-0.361278,0.202054,-0.19536
557,0.0731774,-0.125111,-0.352018,0.132832,-0.285517
558,0.1422,-0.00941717,-0.33638,0.1288,-0.234561
559,0.0540698,-0.026464,-0.355863,0.130371,-0.335697
560,-0.0800851,-0.0107091,-0.513058,0.136254,-0.395954
561,-0.122746,-0.0669351,-0.628013,0.105596,-0.501941
562,-0.222089,-0.174563,-0.711086,-0.0103499,-0.719255
563,-0.236406,-0.119418,-0.613417,-0.0124872,-0.738193
564,-0.193393,-0.0680584,-0.629697,0.0754117,-0.657906
565,-0.206085,0.00853556,-0.577703,0.109368,-0.650747
566,-0.291637,0.0318164,-0.632886,0.0497182,-0.655985
567,-0.224906,0.0507897,-0.598781,0.0941544,-0.566965
568,-0.177391,0.0672845,-0.536487,0.153734,-0.601282
569,-0.090173,0.056505,-0.454186,0.174481,-0.459195
570,0.0727949,0.112921,-0.314688,0.348311,-0.323076
571,0.0597404,0.275856,-0.251593,0.395572,-0.20239
572,0.0951928,0.297087,-0.235423,0.48561,-0.109108
573,0.137144,0.387416,-0.154403,0.488475,-0.0609892
574,0.0578959,0.419564,-0.158489,0.573237,-0.0588544
575,0.131996,0.323537,-0.164444,0.623574,-0.102421
576,0.0690626,0.292489,-0.06773,0.685296,-0.170282
577,0.0223918,0.298831,-0.0497221,0.72196,-0.242054
578,0.00851911,0.377084,-0.101689,0.752091,-0.153586
579,-0.112112,0.320342,-0.128214,0.662494,-0.359777
580,-0.0817791,0.290409,-0.103728,0.686627,-0.260922
581,-0.0809374,0.306477,-0.114171,0.764127,-0.282697
582,-0.049187,0.18239,-0.156617,0.713343,-0.296866
583,-0.0962795,0.0709279,-0.16358,0.610189,-0.313377
584,-0.240001,0.0264619,-0.239221,0.600467,-0.295469
585,-0.269081,0.0571794,-0.356001,0.603126,-0.292902
586,-0.187645,0.0491504,-0.370455,0.599327,-0.230375
587,-0.248488,-0.0400463,-0.350325,0.524103,-0.334692
588,-0.185802,-0.0804632,-0.380433,0.565,-0.313561
589,-0.296107,-0.193249,-0.419154,0.560745,-0.459915
590,-0.375222,-0.250139,-0.485284,0.448806,-0.49929
591,-0.361441,-0.231041,-0.385838,0.410601,-0.581722
592,-0.3063,-0.156669,-0.357289,0.486852,-0.499439
593,-0.266577,-0.117312,-0.380084,0.417953,-0.542833
594,-0.286927,-0.174249,-0.475572,0.363139,-0.581189
595,-0.218809,-0.194149,-0.441075,0.322098,-0.567855
596,-0.247318,-0.154338,-0.346239,0.31145,-0.506481
597,-0.279968,-0.246161,-0.404434,0.211558,-0.596889
598,-0.249221,-0.18003,-0.466995,0.15957,-0.546541
599,-0.156935,-0.0859424,-0.377659,0.22694,-0.506738
600,-0.369399,-0.208196,-0.467882,0.212606,-0.608642
601,-0.364635,-0.193895,-0.456326,0.245806,-0.575798
602,-0.446506,-0.275197,-0.395039,0.189844,-0.60414
603,-0.338768,-0.141529,-0.263389,0.232727,-0.47274
604,-0.457507,-0.0481561,-0.245763,0.249662,-0.479619
605,-0.594961,-0.176704,-0.346411,0.132888,-0.569247
606,-0.642361,-0.142861,-0.395153,0.102371,-0.533979
607,-0.716991,-0.190964,-0.36448,0.0353533,-0.576489
608,-0.806703,-0.255746,-0.528723,-0.0886589,-0.661395
609,-0.698893,-0.177393,-0.463495,-0.024376,-0.62096
610,-0.806924,-0.282289,-0.603441,-0.129013,-0.775618
611,-0.711486,-0.197209,-0.626307,-0.149215,-0.680619
612,-0.726067,-0.219458,-0.68544,-0.123464,-0.753141
613,-0.837096,-0.393803,-0.725177,-0.17886,-0.816672
614,-0.758345,-0.308646,-0.661665,-0.103952,-0.74071
615,-0.673943,-0.252391,-0.685802,-0.0535088,-0.794076
616,-0.562922,-0.187749,-0.521835,0.0106184,-0.641563
617,-0.563455,-0.179523,-0.579463,0.0468787,-0.671152
618,-0.556074,-0.314427,-0.600196,0.122725,-0.674239
619,-0.549711,-0.326559,-0.544654,0.187197,-0.504502
620,-0.565194,-0.224271,-0.578599,0.313778,-0.514992
621,-0.552677,-0.282245,-0.554684,0.279104,-0.580782
622,-0.510508,-0.240933,-0.609479,0.294405,-0.654899
623,-0.406797,-0.230354,-0.601413,0.332215,-0.678855
624,-0.308825,-0.100149,-0.507733,0.37894,-0.636032
625,-0.299918,-0.136188,-0.554447,0.373968,-0.689648
626,-0.328027,-0.189916,-0.619031,0.241103,-0.816843
627,-0.249723,-0.0403104,-0.558651,0.296902,-0.769055
628,-0.217274,0.0456081,-0.475662,0.290041,-0.787872
629,-0.174658,0.0644226,-0.392825,0.2741,-0.782917
630,-0.240636,0.0210028,-0.352283,0.192033,-0.886965
631,-0.201463,0.0660725,-0.350534,0.300649,-0.826795
632,-0.185456,0.0909804,-0.358097,0.318028,-0.735518
633,-0.327292,-0.0475918,-0.431822,0.217219,-0.81848
634,-0.493915,-0.0852958,-0.502636,0.207241,-0.842039
635,-0.543714,-0.110216,-0.491144,0.318459,-0.767425
636,-0.514783,-0.0872756,-0.39699,0.340944,-0.729684
637,-0.459004,-0.101861,-0.394339,0.34183,-0.672637
638,-0.584517,-0.349677,-0.671774,0.166759,-0.738094
639,-0.500332,-0.314169,-0.665233,0.246806,-0.662042
640,-0.597169,-0.322273,-0.627197,0.232987,-0.739448
641,-0.71353,-0.264539,-0.59967,0.332198,-0.670047
642,-0.648866,-0.198599,-0.460119,0.466697,-0.616063
643,-0.630755,-0.241314,-0.52436,0.498686,-0.567423
644,-0.496233,-0.181051,-0.422892,0.486934,-0.530996
645,-0.580342,-0.16354,-0.468407,0.368844,-0.543261
646,-0.64514,-0.199039,-0.504246,0.361526,-0.535971
647,-0.535043,-0.127581,-0.3406,0.460337,-0.454647
648,-0.468517,0.00464341,-0.15931,0.593425,-0.463408
649,-0.504972,0.0391912,-0.226115,0.522664,-0.421691
650,-0.592608,-0.0462339,-0.484922,0.245038,-0.494542
651,-0.46546,0.0370168,-0.357115,0.350353,-0.454219
652,-0.472697,0.0480629,-0.418248,0.308292,-0.427097
653,-0.503915,0.0150932,-0.441346,0.334149,-0.46896
654,-0.542702,0.0548588,-0.429691,0.369305,-0.496208
655,-0.442121,0.108633,-0.375246,0.52647,-0.455372
656,-0.40749,0.186047,-0.355109,0.651331,-0.423585
657,-0.401124,0.298688,-0.390141,0.733847,-0.32126
658,-0.30289,0.327107,-0.416893,0.754414,-0.376101
659,-0.354374,0.274856,-0.442946,0.777385,-0.393118
660,-0.445827,0.2448,-0.537867,0.672598,-0.466515
661,-0.450111,0.333488,-0.503152,0.72756,-0.45633
662,-0.591824,0.194887,-0.624504,0.581985,-0.648866
663,-0.599005,0.181507,-0.70493,0.61141,-0.700976
664,-0.50107,0.167733,-0.60309,0.654045,-0.57633
665,-0.523668,0.110614,-0.66024,0.646156,-0.594793
666,-0.438974,0.140474,-0.573564,0.702035,-0.628438
667,-0.505708,0.115294,-0.593029,0.709041,-0.665949
668,-0.391973,0.256091,-0.36734,0.813197,-0.477172
669,-0.242605,0.430653,-0.259966,1.0403,-0.335618
670,-0.165523,0.528611,-0.202246,1.06974,-0.331796
671,-0.215564,0.457693,-0.190695,1.04888,-0.356603
672,-0.226992,0.511303,-0.114131,1.12116,-0.213626
673,-0.340703,0.475068,-0.152395,1.06469,-0.164326
674,-0.368998,0.514658,-0.116439,1.00608,-0.206126
675,-0.471406,0.476745,-0.0889042,0.922829,-0.309326
676,-0.605885,0.361968,-0.185297,0.792488,-0.311473
677,-0.627214,0.330493,-0.265165,0.691764,-0.346049
678,-0.676459,0.161164,-0.33459,0.618902,-0.454502
679,-0.748869,0.107783,-0.369829,0.545322,-0.53377
680,-0.739354,0.124072,-0.383381,0.615017,-0.483066
681,-0.675542,0.210667,-0.317894,0.698033,-0.463083
682,-0.697769,0.115573,-0.374728,0.588675,-0.562867
683,-0.724919,0.146315,-0.452132,0.583571,-0.590529
684,-0.728948,0.212613,-0.384336,0.691794,-0.525897
685,-0.66763,0.333078,-0.293376,0.789206,-0.445645
686,-0.763564,0.257801,-0.333441,0.723111,-0.5219
687,-0.791017,0.284986,-0.259758,0.769096,-0.591161
688,-0.816577,0.307463,-0.223347,0.837019,-0.594266
689,-0.86422,0.28703,-0.184492,0.912468,-0.46785
690,-0.953817,0.206569,-0.246497,0.886558,-0.539028
691,-0.919511,0.39636,-0.13213,1.00338,-0.472259
692,-0.942633,0.498535,-0.0749411,1.12568,-0.403353
693,-0.902734,0.570895,-0.0509061,1.15644,-0.419691
694,-0.982601,0.543223,-0.145445,1.08669,-0.458574
695,-1.0504,0.553463,-0.142351,1.00943,-0.475372
696,-0.877997,0.650903,-0.0498213,1.1949,-0.237333
697,-0.915806,0.596409,-0.0890947,1.15184,-0.275744
698,-0.858446,0.5603,-0.0378476,1.1373,-0.284773
699,-0.762272,0.756357,-0.00621757,1.1195,-0.221171
700,-0.657346,0.734401,-0.00639221,1.20987,-0.198705
701,-0.403177,0.830167,0.131777,1.37177,-0.109246
702,-0.528316,0.668634,-0.0788533,1.16677,-0.253114
703,-0.385872,0.748508,0.0191533,1.29906,-0.208525
704,-0.367936,0.680481,-0.0366775,1.28407,-0.320795
705,-0.591944,0.416111,-0.309176,0.992596,-0.642315
706,-0.465459,0.483975,-0.166819,0.99141,-0.552915
707,-0.415451,0.482797,-0.208184,0.903477,-0.573541
708,-0.466482,0.42532,-0.272432,0.868239,-0.623541
709,-0.589406,0.29922,-0.271273,0.67985,-0.722507
710,-0.628602,0.261435,-0.326264,0.499746,-0.792005
711,-0.494503,0.350804,-0.0537502,0.674804,-0.650026
712,-0.517158,0.360546,-0.102742,0.642281,-0.664195
713,-0.447643,0.456231,0.0495068,0.757313,-0.553473
714,-0.223053,0.787713,0.183777,0.952528,-0.368798
715,-0.225097,0.872813,0.240311,1.07761,-0.421677
716,-0.166,1.0465,0.333741,1.31771,-0.377475
717,-0.123638,1.0873,0.363586,1.39139,-0.230086
718,-0.141998,1.18981,0.338901,1.48683,-0.292937
719,-0.106161,1.30041,0.49985,1.60337,-0.176524
720,-0.186897,1.26088,0.481427,1.51887,-0.228558
721,-0.225757,1.3012,0.472292,1.55581,-0.213854
722,-0.259054,1.23137,0.467828,1.51401,-0.185978
723,-0.392539,1.15412,0.480792,1.46419,-0.206792
724,-0.397508,1.07991,0.504507,1.40698,-0.175522
725,-0.497785,0.974334,0.420168,1.28689,-0.247989
726,-0.521401,0.916018,0.534035,1.20619,-0.233158
727,-0.41335,0.856988,0.521055,1.21811,-0.140572
728,-0.323209,0.915667,0.559604,1.32247,-0.0382973
729,-0.208433,1.13282,0.677936,1.45794,0.121677
730,-0.163211,1.04729,0.656817,1.50982,0.118902
731,-0.296659,0.803615,0.446375,1.27687,-0.0683441
732,-0.340006,0.792726,0.342322,1.31445,-0.0115161
733,-0.398094,0.760934,0.299366,1.27322,-0.1571
734,-0.561592,0.692941,0.294528,1.18379,-0.253474
735,-0.591384,0.810337,0.345484,1.23794,-0.241545
736,-0.831465,0.760331,0.268945,1.05644,-0.527674
737,-0.839357,0.740788,0.258133,0.981441,-0.588924
738,-1.08034,0.501158,0.012358,0.814352,-0.72916
739,-1.113,0.566082,-0.0234201,0.694656,-0.753519
740,-0.836508,0.957675,0.313599,1.03197,-0.429103
741,-0.813192,1.05088,0.40592,1.08525,-0.435529
742,-0.760563,1.14887,0.437468,1.169,-0.43975
743,-0.656879,1.25029,0.489259,1.27748,-0.406623
744,-0.584993,1.2621,0.597524,1.39781,-0.280217
745,-0.419011,1.40563,0.739943,1.52189,-0.120749
746,-0.639095,1.18589,0.564064,1.37247,-0.225488
747,-0.646721,1.17329,0.458083,1.30905,-0.240513
748,-0.665509,1.03938,0.447853,1.32218,-0.400608
